title,monitor,cpu,memory,drive,old_price,new_price,discount,images
Ноутбук Acer Nitro 17 AN17-51-53LU (NH.QK5EU.00G) Obsidian Black,"17.3"" IPS Full HD 165 Гц",Intel Core i5-13420H,RAM 16 ГБ,SSD 512 ГБ,,,0,[]
Ноутбук Acer Aspire Go 15 AG15-51P-51B4 (NX.J51EU.00A) Steel Gray,"15.3"" IPS WUXGA",Intel Core i5-1334U,RAM 16 ГБ,SSD 512 ГБ,,,0,[]
Ноутбук Lenovo IdeaPad 1 15IAU7 (82QD00JARA) Cloud Grey,"15.6"" IPS",Intel Core i5-1235U,RAM 16 ГБ,SSD 512 ГБ,,,0,[]
Ноутбук Lenovo IdeaPad Slim 5 14ABR8 (82XE00ARRA) Cloud Grey,"14"" OLED WUXGA",AMD Ryzen 7 7730U,RAM 16 ГБ,SSD 1 ТБ,,,0,[]
Ноутбук HP Laptop 15-fd1059ua (B22CCEA) Moonlight Blue,"15.6"" IPS Full HD",Intel Core 5 120U,RAM 16 ГБ,SSD 512 ГБ,,,0,[]
Ноутбук ASUS Vivobook 17 X1704ZA-AU376 (90NB10F1-M00F00) Cool Silver,"17.3"" IPS",Intel Core i7-1255U,RAM 16 ГБ,SSD 1 ТБ,,,0,[]
Ноутбук Acer Nitro V 15 ANV15-41-R9HF (NH.QSJEU.008) Obsidian Black,"15.6"" IPS Full HD 144 Гц",AMD Ryzen 5 7535HS,RAM 16 ГБ,SSD 512 ГБ,,,0,[]
Ноутбук Lenovo LOQ 15ARP9 (83JC00BYRA) Luna Grey,"15.6"" IPS 144 Гц",AMD Ryzen 5 7235HS,RAM 24 ГБ,SSD 1 ТБ,,,0,[]
Ноутбук Lenovo LOQ 15IAX9 (83GS00Q4RA) Luna Grey,"15.6"" IPS 144 Гц",Intel Core i5-12450HX,RAM 16 ГБ,SSD 512 ГБ,,,0,[]
Ноутбук HP Laptop 17-cn2016ua (94Z26EA) Natural Silver,17.3” IPS Full HD,Intel Core i3-1215U,RAM 16 ГБ,SSD 512 ГБ,,,0,[]
Ноутбук ASUS TUF Gaming F15 FX507ZC4-HN059 (90NR0GW2-M00V50) Jaeger Gray,"15.6"" IPS 144 Гц",Intel Core i5-12500H,RAM 16 ГБ,SSD 1 ТБ,,,0,[]
Ноутбук Acer Extensa 15 EX215-55-324X (NX.EGYEU.02Z) Steel Gray,"15.6"" IPS",Intel Core i3-1215U,RAM 12 ГБ,SSD 512 ГБ,,,0,[]
Ноутбук Acer Aspire 7 A715-76G-56U7 (NH.QN4EU.001) Charcoal Black,"15.6"" IPS Full HD",Intel Core i5-12450H,RAM 16 ГБ,SSD 512 ГБ,,,0,[]
Ноутбук HP Pavilion 16-af0011ua (A2BK2EA) Sky Blue,,,,,,,0,[]
Ноутбук ASUS VivoBook 15 OLED M1505YA-MA031 (90NB10Q2-M00130) Cool Silver,"15.6"" OLED 2.8K 120 Гц",AMD Ryzen 7 7730U,RAM 16 ГБ,SSD 1 ТБ,,,0,[]
Ноутбук HP Victus Gaming 16-s0017ua (9G9J5EA) Mica Silver,"16.1"" IPS Full HD 144 Гц",AMD Ryzen 5 7640HS,RAM 32 ГБ,SSD 512 ГБ,,,0,[]
Ноутбук Lenovo IdeaPad 1 15AMN7 (82VG00RGRA) Cloud Grey,"15.6"" IPS",AMD Ryzen 3 7320U,RAM 8 ГБ,SSD 512 ГБ,,,0,[]
Ноутбук ASUS Vivobook 16X K3605VU-RP333 (90NB11Z2-M00EU0) Cool Silver,"16"" IPS WUXGA 144 Гц",Intel Core i5-13500H,RAM 16 ГБ,SSD 512 ГБ,,,0,[]
Ноутбук Acer Aspire 3 A314-23P-R22X (NX.KDDEU.00D) Pure Silver,14” IPS Full HD,AMD Ryzen 3 7320U,RAM 16 ГБ,SSD 512 ГБ+ Миша Acer OMR010 Wireless Black у подарунок!,,,0,[]
Ноутбук HP Envy x360 2-in-1 Laptop 15-fh0004ua (8F2C7EA) Nightfall Black,"15.6"" OLED Full HD, Multi-touch",AMD Ryzen 7 7730U,RAM 16 ГБ,SSD 1 ТБ,,,0,[]
Ноутбук Acer Aspire 7 A715-76G-51C4 (NH.QN4EU.003) Charcoal Black,Intel Core i5-12450H,RAM 8 ГБ,SSD 512 ГБ,"nVidia GeForce RTX 2050, 4 ГБ",,,0,[]
Ноутбук ASUS TUF Gaming A15 (2023) FA507NUR-LP003 (90NR0JP5-M00460) Mecha Gray,"15.6"" IPS 144 Гц",AMD Ryzen 7 7435HS,RAM 16 ГБ,SSD 512 ГБ,,,0,[]
